date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:31	21284/21284	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Sep%202023%2012:44:30%20GMT	https://www.resultchecker.com.ng/school-portal-script.php	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/school-portal-script.html	(from https://www.resultchecker.com.ng/)
13:44:31	14770/14770	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Sep%202023%2012:44:30%20GMT	https://www.resultchecker.com.ng/result-checker-script.php	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/result-checker-script.html	(from https://www.resultchecker.com.ng/)
13:44:31	32268/32268	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Sep%202023%2012:44:31%20GMT	https://www.resultchecker.com.ng/faq.php	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/faq.html	(from https://www.resultchecker.com.ng/)
13:44:31	17336/17336	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Sep%202023%2012:44:31%20GMT	https://www.resultchecker.com.ng/signup.php	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/signup.html	(from https://www.resultchecker.com.ng/)
13:44:32	14221/14221	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Sep%202023%2012:44:31%20GMT	https://www.resultchecker.com.ng/login.php	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/login.html	(from https://www.resultchecker.com.ng/)
13:44:33	95931/95931	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/jquery/jquery.min.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/jquery/jquery.min.js	(from https://www.resultchecker.com.ng/)
13:44:33	199156/199156	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Oct%202021%2012:29:00%20GMT	https://www.resultchecker.com.ng/assets/images/mbr-1328x891.jpg	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/images/mbr-1328x891.jpg	(from https://www.resultchecker.com.ng/)
13:44:33	18994/18994	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/popper/popper.min.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/popper/popper.min.js	(from https://www.resultchecker.com.ng/)
13:44:33	60174/60174	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/bootstrap/js/bootstrap.min.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/bootstrap/js/bootstrap.min.js	(from https://www.resultchecker.com.ng/)
13:44:34	7970/7970	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/smoothscroll/smooth-scroll.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/smoothscroll/smooth-scroll.js	(from https://www.resultchecker.com.ng/)
13:44:34	7965/7965	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/dropdown/js/nav-dropdown.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/dropdown/js/nav-dropdown.js	(from https://www.resultchecker.com.ng/)
13:44:34	1582/1582	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/dropdown/js/navbar-dropdown.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/dropdown/js/navbar-dropdown.js	(from https://www.resultchecker.com.ng/)
13:44:34	20412/20412	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/touchswipe/jquery.touch-swipe.min.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/touchswipe/jquery.touch-swipe.min.js	(from https://www.resultchecker.com.ng/)
13:44:35	12694/12694	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/cookies-alert-plugin/cookies-alert-core.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/cookies-alert-plugin/cookies-alert-core.js	(from https://www.resultchecker.com.ng/)
13:44:35	989/989	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/cookies-alert-plugin/cookies-alert-script.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/cookies-alert-plugin/cookies-alert-script.js	(from https://www.resultchecker.com.ng/)
13:44:35	3670/3670	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/bootstrapcarouselswipe/bootstrap-carousel-swipe.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/bootstrapcarouselswipe/bootstrap-carousel-swipe.js	(from https://www.resultchecker.com.ng/)
13:44:36	817/817	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/mbr-testimonials-slider/mbr-testimonials-slider.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/mbr-testimonials-slider/mbr-testimonials-slider.js	(from https://www.resultchecker.com.ng/)
13:44:36	15497/15497	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/parallax/jarallax.min.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/parallax/jarallax.min.js	(from https://www.resultchecker.com.ng/)
13:44:36	18494/18494	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/theme/js/script.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/theme/js/script.js	(from https://www.resultchecker.com.ng/)
13:44:37	12117/12117	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/formoid/formoid.min.js	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/formoid/formoid.min.js	(from https://www.resultchecker.com.ng/)
13:44:37	51628/51628	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons.eot?spat4u	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons0e1c.eot	(from https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons.css)
13:44:38	51540/51540	---M--	200	added ('OK')	font/woff	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons.woff?spat4u	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons0e1c.woff	(from https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons.css)
13:44:38	51464/51464	---M--	200	added ('OK')	font/ttf	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons.ttf?spat4u	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons0e1c.ttf	(from https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons.css)
13:44:39	206219/206219	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons.svg?spat4u	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons0e1c.svg	(from https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons/mobirise-icons.css)
13:44:39	25468/25468	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise2.eot?f2bix4	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise21e04.eot	(from https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise2.css)
13:44:39	25280/25280	---M--	200	added ('OK')	font/ttf	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise2.ttf?f2bix4	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise21e04.ttf	(from https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise2.css)
13:44:39	25356/25356	---M--	200	added ('OK')	font/woff	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise2.woff?f2bix4	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise21e04.woff	(from https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise2.css)
13:44:40	72845/72845	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise2.svg?f2bix4	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise21e04.svg	(from https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons2/mobirise2.css)
13:44:41	116416/116416	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/socicon/fonts/socicon.eot	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/socicon/fonts/socicon.eot	(from https://www.resultchecker.com.ng/assets/socicon/css/styles.css)
13:44:41	116416/116416	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/socicon/fonts/socicon.eot?	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/socicon/fonts/socicond41d.eot	(from https://www.resultchecker.com.ng/assets/socicon/css/styles.css)
13:44:41	64512/64512	---M--	200	added ('OK')	font/woff2	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/socicon/fonts/socicon.woff2	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/socicon/fonts/socicon.woff2	(from https://www.resultchecker.com.ng/assets/socicon/css/styles.css)
13:44:42	116252/116252	---M--	200	added ('OK')	font/ttf	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/socicon/fonts/socicon.ttf	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/socicon/fonts/socicon.ttf	(from https://www.resultchecker.com.ng/assets/socicon/css/styles.css)
13:44:42	116328/116328	---M--	200	added ('OK')	font/woff	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/socicon/fonts/socicon.woff	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/socicon/fonts/socicon.woff	(from https://www.resultchecker.com.ng/assets/socicon/css/styles.css)
13:44:42	322578/322578	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/socicon/fonts/socicon.svg	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/socicon/fonts/socicon.svg	(from https://www.resultchecker.com.ng/assets/socicon/css/styles.css)
13:44:43	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Sep%202023%2012:44:42%20GMT	https://www.resultchecker.com.ng/index.html	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/index-2.html	(from https://www.resultchecker.com.ng/hiw.php)
13:44:43	4789/4789	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/datatables/data-tables.bootstrap4.min.css	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/datatables/data-tables.bootstrap4.min.css	(from https://www.resultchecker.com.ng/reseller.php)
